note,frequency,string0,string1,string2,string3,string4,string5
E2,82.41,0,-,-,-,-,-
F2,87.31,-,-,-,-,-,-
F#2,92.50,2,-,-,-,-,-
G2,98.00,-,-,-,-,-,-
G#2,103.83,4,-,-,-,-,-
A2,110.00,-,0,-,-,-,-
A#2,116.54,-,1,-,-,-,-
B2,123.47,-,2,-,-,-,-
C3,130.81,-,3,-,-,-,-
C#3,138.59,-,4,-,-,-,-
D3,146.83,-,5,0,-,-,-
D#3,155.56,-,6,1,-,-,-
E3,164.81,-,7,2,0,-,-
F3,174.61,-,8,3,1,-,-
F#3,185.00,-,9,4,2,0,-
G3,196.00,-,10,5,3,1,-
G#3,207.65,-,11,6,4,2,-
A3,220.00,-,12,7,5,3,0
A#3,233.08,-,13,8,6,4,1
B3,246.94,-,14,9,7,5,2
C4,261.63,-,15,10,8,6,3
C#4,277.18,-,16,11,9,7,4
D4,293.66,-,17,12,10,8,5
D#4,311.13,-,18,13,11,9,6
E4,329.63,-,19,14,12,10,7
F4,349.23,-,20,15,13,11,8
F#4,369.99,-,21,16,14,12,9
G4,392.00,-,22,17,15,13,10
G#4,415.30,-,23,18,16,14,11
A4,440.00,-,24,19,17,15,12
A#4,466.16,-,25,20,18,16,13
B4,493.88,-,26,21,19,17,14
C5,523.25,-,27,22,20,18,15
C#5,554.37,-,28,23,21,19,16
D5,587.33,-,29,24,22,20,17
D#5,622.25,-,30,25,23,21,18
E5,659.25,-,31,26,24,22,19
F5,698.46,-,32,27,25,23,20
F#5,739.99,-,33,28,26,24,21
G5,783.99,-,34,29,27,25,22
G#5,830.61,-,35,30,28,26,23
A5,880.00,-,36,31,29,27,24
A#5,932.33,-,37,32,30,28,25
B5,987.77,-,38,33,31,29,26
C6,1046.50,-,39,34,32,30,27
C#6,1108.73,-,40,35,33,31,28
D6,1174.66,-,41,36,34,32,29
D#6,1244.51,-,42,37,35,33,30
E6,1318.51,-,43,38,36,34,31
F6,1396.91,-,44,39,37,35,32
F#6,1479.98,-,45,40,38,36,33
G6,1567.98,-,46,41,39,37,34
G#6,1661.22,-,47,42,40,38,35
A6,1760.00,-,48,43,41,39,36
A#6,1864.66,-,49,44,42,40,37
B6,1975.53,-,50,45,43,41,38
C7,2093.00,-,51,46,44,42,39
C#7,2217.46,-,52,47,45,43,40
D7,2349.32,-,53,48,46,44,41
D#7,2489.02,-,54,49,47,45,42
E7,2637.02,-,55,50,48,46,43
F7,2793.83,-,56,51,49,47,44
F#7,2959.96,-,57,52,50,48,45
G7,3135.96,-,58,53,51,49,46
G#7,3322.44,-,59,54,52,50,47
A7,3520.00,-,60,55,53,51,48
A#7,3729.31,-,61,56,54,52,49
B7,3951.07,-,62,57,55,53,50
C8,4186.01,-,63,58,56,54,51
C#8,4434.92,-,64,59,57,55,52
D8,4698.63,-,65,60,58,56,53
D#8,4978.03,-,66,61,59,57,54
E8,5274.04,-,67,62,60,58,55
F8,5587.65,-,68,63,61,59,56
F#8,5919.91,-,69,64,62,60,57
G8,6271.93,-,70,65,63,61,58
G#8,6644.88,-,71,66,64,62,59
A8,7040.00,-,72,67,65,63,60
A#8,7458.62,-,73,68,66,64,61
B8,7902.13,-,74,69,67,65,62
